Country,Number
Albania,1
Algeria,2
Argentina,4
Australia,1
Austria,1
Azerbaijan,1
Belgium,8
Bermuda,1
Brazil,11
Canada,2
Colombia,3
Ivory Coast, 4
Denmark,1
Ecuador,1
Egypt,1
United Kingdom,73
Finland,1
France,6
Gabon,1
Germany,2
Ghana,1
Iran,1
Ireland,9
Israel,1
Italy,4
Japan,3
Mali,1
Mexico,1
Netherlands,8
New Zealand,1
Nigeria,7
Norway,2
Portugal,6
Romania,1
Senegal,3
Republic of Serbia,3
Slovenia,1
South Africa,1
South Korea,1
Spain,13
Sweden,2
Switzerland,3
United Republic of Tanzania,1
Democratic Republic of the Congo,2
Turkey,1
Ukraine,1
United States of America,1
Venezuela,2
Zimbabwe,1
